env_id,env_name,category,data_kind,use_for_fit,is_global_anchor,delta,delta_err,H0,H0_err,redshift_range,scale_mpc,source,notes,delta_kind,delta_scale_mpc_h,delta_source
coma_cz_over_D_2mpp20,"Coma cluster (cz/D, 2M++ delta_g*)",cluster,observed,false,false,0.4322764151332613,,74.42,1.82,z~0.024,20,Scolnic et al. 2025 ApJL 979 L9,H0 from cz/D; delta from 2M++ smoothing 20 Mpc/h,delta_g_star_2mpp,20,overdense_env_candidates_v0.csv
coma_cz_over_D_2mpp50,"Coma cluster (cz/D, 2M++ delta_g*)",cluster,observed,false,false,0.07677854526028692,,74.42,1.82,z~0.024,50,Scolnic et al. 2025 ApJL 979 L9,H0 from cz/D; delta from 2M++ smoothing 50 Mpc/h,delta_g_star_2mpp,50,twompp_targets_delta_sigma_50p000_mpch.csv
coma_cz_over_D_2mpp100,"Coma cluster (cz/D, 2M++ delta_g*)",cluster,observed,false,false,0.012647045225691635,,74.42,1.82,z~0.024,100,Scolnic et al. 2025 ApJL 979 L9,H0 from cz/D; delta from 2M++ smoothing 100 Mpc/h,delta_g_star_2mpp,100,twompp_targets_delta_sigma_100p000_mpch.csv
cf2_proxy_bin_01_sigma50,"CF2 proxy bin 1 (δ_g*∈[-0.042,0.027], n=57)",supercluster,observed,True,False,0.0038045438101596478,,73.66891064857332,0.7709026246304833,local,bin from CF2; smooth=50 Mpc/h,Cosmicflows-2 (Tully et al. 2013; VizieR J/AJ/146/86) + 2M++ (Carrick et al. 2015),Quantile-binned mean; H0=Vcmba/Dist with peculiar_vel_err=250 km/s,delta_g_star_2mpp,50.0,d:\Relational-Ontology\math\hubble_env_scan\_cache\cf2_table2_asu_tsv_outmax_9000.tsv
cf2_proxy_bin_02_sigma50,"CF2 proxy bin 2 (δ_g*∈[0.027,0.044], n=57)",supercluster,observed,True,False,0.035662471966122954,,74.2929927766943,0.969967456580432,local,bin from CF2; smooth=50 Mpc/h,Cosmicflows-2 (Tully et al. 2013; VizieR J/AJ/146/86) + 2M++ (Carrick et al. 2015),Quantile-binned mean; H0=Vcmba/Dist with peculiar_vel_err=250 km/s,delta_g_star_2mpp,50.0,d:\Relational-Ontology\math\hubble_env_scan\_cache\cf2_table2_asu_tsv_outmax_9000.tsv
cf2_proxy_bin_03_sigma50,"CF2 proxy bin 3 (δ_g*∈[0.044,0.055], n=56)",supercluster,observed,True,False,0.049235869752020406,,77.19169264564188,1.1583824842867043,local,bin from CF2; smooth=50 Mpc/h,Cosmicflows-2 (Tully et al. 2013; VizieR J/AJ/146/86) + 2M++ (Carrick et al. 2015),Quantile-binned mean; H0=Vcmba/Dist with peculiar_vel_err=250 km/s,delta_g_star_2mpp,50.0,d:\Relational-Ontology\math\hubble_env_scan\_cache\cf2_table2_asu_tsv_outmax_9000.tsv
cf2_proxy_bin_04_sigma50,"CF2 proxy bin 4 (δ_g*∈[0.055,0.062], n=57)",supercluster,observed,True,False,0.05818493865814559,,73.83845304419063,1.0680687413472185,local,bin from CF2; smooth=50 Mpc/h,Cosmicflows-2 (Tully et al. 2013; VizieR J/AJ/146/86) + 2M++ (Carrick et al. 2015),Quantile-binned mean; H0=Vcmba/Dist with peculiar_vel_err=250 km/s,delta_g_star_2mpp,50.0,d:\Relational-Ontology\math\hubble_env_scan\_cache\cf2_table2_asu_tsv_outmax_9000.tsv
cf2_proxy_bin_05_sigma50,"CF2 proxy bin 5 (δ_g*∈[0.062,0.068], n=56)",supercluster,observed,True,False,0.06527548806343786,,75.1953288943982,1.412863296633131,local,bin from CF2; smooth=50 Mpc/h,Cosmicflows-2 (Tully et al. 2013; VizieR J/AJ/146/86) + 2M++ (Carrick et al. 2015),Quantile-binned mean; H0=Vcmba/Dist with peculiar_vel_err=250 km/s,delta_g_star_2mpp,50.0,d:\Relational-Ontology\math\hubble_env_scan\_cache\cf2_table2_asu_tsv_outmax_9000.tsv
cf2_proxy_bin_06_sigma50,"CF2 proxy bin 6 (δ_g*∈[0.068,0.075], n=57)",supercluster,observed,True,False,0.07109773327211817,,78.96251265773458,1.234822217705535,local,bin from CF2; smooth=50 Mpc/h,Cosmicflows-2 (Tully et al. 2013; VizieR J/AJ/146/86) + 2M++ (Carrick et al. 2015),Quantile-binned mean; H0=Vcmba/Dist with peculiar_vel_err=250 km/s,delta_g_star_2mpp,50.0,d:\Relational-Ontology\math\hubble_env_scan\_cache\cf2_table2_asu_tsv_outmax_9000.tsv
cf2_proxy_bin_07_sigma50,"CF2 proxy bin 7 (δ_g*∈[0.075,0.133], n=57)",supercluster,observed,True,False,0.09409934339815246,,78.29836459094975,0.8844607871133107,local,bin from CF2; smooth=50 Mpc/h,Cosmicflows-2 (Tully et al. 2013; VizieR J/AJ/146/86) + 2M++ (Carrick et al. 2015),Quantile-binned mean; H0=Vcmba/Dist with peculiar_vel_err=250 km/s,delta_g_star_2mpp,50.0,d:\Relational-Ontology\math\hubble_env_scan\_cache\cf2_table2_asu_tsv_outmax_9000.tsv
