env_id,env_name,category,data_kind,use_for_fit,is_global_anchor,delta,delta_err,H0,H0_err,redshift_range,scale_mpc,source,notes,delta_kind,delta_scale_mpc_h,delta_source
coma_cz_over_D_2mpp20,"Coma cluster (cz/D, 2M++ delta_g*)",cluster,observed,false,false,0.4322764151332613,,74.42,1.82,z~0.024,20,Scolnic et al. 2025 ApJL 979 L9,H0 from cz/D; delta from 2M++ smoothing 20 Mpc/h,delta_g_star_2mpp,20,overdense_env_candidates_v0.csv
coma_cz_over_D_2mpp50,"Coma cluster (cz/D, 2M++ delta_g*)",cluster,observed,false,false,0.07677854526028692,,74.42,1.82,z~0.024,50,Scolnic et al. 2025 ApJL 979 L9,H0 from cz/D; delta from 2M++ smoothing 50 Mpc/h,delta_g_star_2mpp,50,twompp_targets_delta_sigma_50p000_mpch.csv
coma_cz_over_D_2mpp100,"Coma cluster (cz/D, 2M++ delta_g*)",cluster,observed,false,false,0.012647045225691635,,74.42,1.82,z~0.024,100,Scolnic et al. 2025 ApJL 979 L9,H0 from cz/D; delta from 2M++ smoothing 100 Mpc/h,delta_g_star_2mpp,100,twompp_targets_delta_sigma_100p000_mpch.csv
cf2_proxy_bin_01_sigma50,"CF2 proxy bin 1 (δ_g*∈[-0.058,-0.002], n=560)",supercluster,observed,True,False,-0.01929838417058317,,70.01716045048029,0.5599878828441729,local,bin from CF2; smooth=50 Mpc/h,Cosmicflows-2 (Tully et al. 2013; VizieR J/AJ/146/86) + 2M++ (Carrick et al. 2015),Quantile-binned mean; H0=Vcmba/Dist with peculiar_vel_err=250 km/s,delta_g_star_2mpp,50.0,d:\Relational-Ontology\math\hubble_env_scan\_cache\cf2_table1_asu_tsv_outmax_9000.tsv
cf2_proxy_bin_02_sigma50,"CF2 proxy bin 2 (δ_g*∈[-0.002,0.019], n=560)",supercluster,observed,True,False,0.008743629295509436,,68.17712068848513,0.5401264379612871,local,bin from CF2; smooth=50 Mpc/h,Cosmicflows-2 (Tully et al. 2013; VizieR J/AJ/146/86) + 2M++ (Carrick et al. 2015),Quantile-binned mean; H0=Vcmba/Dist with peculiar_vel_err=250 km/s,delta_g_star_2mpp,50.0,d:\Relational-Ontology\math\hubble_env_scan\_cache\cf2_table1_asu_tsv_outmax_9000.tsv
cf2_proxy_bin_03_sigma50,"CF2 proxy bin 3 (δ_g*∈[0.019,0.037], n=559)",supercluster,observed,True,False,0.028336864135365968,,67.65342912367026,0.5245188940191443,local,bin from CF2; smooth=50 Mpc/h,Cosmicflows-2 (Tully et al. 2013; VizieR J/AJ/146/86) + 2M++ (Carrick et al. 2015),Quantile-binned mean; H0=Vcmba/Dist with peculiar_vel_err=250 km/s,delta_g_star_2mpp,50.0,d:\Relational-Ontology\math\hubble_env_scan\_cache\cf2_table1_asu_tsv_outmax_9000.tsv
cf2_proxy_bin_04_sigma50,"CF2 proxy bin 4 (δ_g*∈[0.037,0.053], n=560)",supercluster,observed,True,False,0.045704900305516036,,67.5048743193905,0.5335136101823335,local,bin from CF2; smooth=50 Mpc/h,Cosmicflows-2 (Tully et al. 2013; VizieR J/AJ/146/86) + 2M++ (Carrick et al. 2015),Quantile-binned mean; H0=Vcmba/Dist with peculiar_vel_err=250 km/s,delta_g_star_2mpp,50.0,d:\Relational-Ontology\math\hubble_env_scan\_cache\cf2_table1_asu_tsv_outmax_9000.tsv
cf2_proxy_bin_05_sigma50,"CF2 proxy bin 5 (δ_g*∈[0.053,0.065], n=559)",supercluster,observed,True,False,0.05896507980601939,,67.81591446054213,0.5498518883323515,local,bin from CF2; smooth=50 Mpc/h,Cosmicflows-2 (Tully et al. 2013; VizieR J/AJ/146/86) + 2M++ (Carrick et al. 2015),Quantile-binned mean; H0=Vcmba/Dist with peculiar_vel_err=250 km/s,delta_g_star_2mpp,50.0,d:\Relational-Ontology\math\hubble_env_scan\_cache\cf2_table1_asu_tsv_outmax_9000.tsv
cf2_proxy_bin_06_sigma50,"CF2 proxy bin 6 (δ_g*∈[0.065,0.084], n=560)",supercluster,observed,True,False,0.07345356109416813,,67.47939149341552,0.5543329193322004,local,bin from CF2; smooth=50 Mpc/h,Cosmicflows-2 (Tully et al. 2013; VizieR J/AJ/146/86) + 2M++ (Carrick et al. 2015),Quantile-binned mean; H0=Vcmba/Dist with peculiar_vel_err=250 km/s,delta_g_star_2mpp,50.0,d:\Relational-Ontology\math\hubble_env_scan\_cache\cf2_table1_asu_tsv_outmax_9000.tsv
cf2_proxy_bin_07_sigma50,"CF2 proxy bin 7 (δ_g*∈[0.084,0.133], n=560)",cluster,observed,True,False,0.1002874878549236,,71.52838909171669,0.5823085289589188,local,bin from CF2; smooth=50 Mpc/h,Cosmicflows-2 (Tully et al. 2013; VizieR J/AJ/146/86) + 2M++ (Carrick et al. 2015),Quantile-binned mean; H0=Vcmba/Dist with peculiar_vel_err=250 km/s,delta_g_star_2mpp,50.0,d:\Relational-Ontology\math\hubble_env_scan\_cache\cf2_table1_asu_tsv_outmax_9000.tsv
